	Condition	CorrectSource	Stim_RT	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	1	6	1.588	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	3.2289999999999996	6	1883
1	1	5	0.847	New	animal_gorilla.bmp	New15	0	1	2.678	8	721
2	1	6	1.093	OLD	animal_monarch_old.bmp	Old08	1	1	1.482	9	638
3	1	9	1.5019999999999998	OLD	fruit_green grapes.bmp	Old68	1	1	1.42	8	394
4	1	8	0.966	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.449	9	550
5	1	9	1.091	New	kitchen_ramekin.bmp	New13	1	2	1.8230000000000002	9	550
6	1	8	0.845	New	sporting_baseball bat_new.bmp	New08	0	1	1.726	5	368
7	0	8	0.7190000000000001	OLD	food_chocolatemilk.bmp	Old17	1	1	1.296	9	404
8	0	5	0.976	OLD	musical_violin_old.bmp	Old51	1	1	1.258	6	1343
9	1	6	1.22	OLD	musical_harmonica_new.bmp	Old47	1	1	1.137	8	338
10	0	6	0.778	OLD	musical_tuba.bmp	Old50	1	1	1.1320000000000001	6	374
11	1	5	1.516	OLD	animal_dalmation_old.bmp	Old04	1	1	1.1179999999999999	6	388
12	1	6	1.442	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	1.3359999999999999	5	362
13	0	8	0.607	OLD	food_cracker02.bmp	Old18	1	1	1.226	8	368
14	1	6	1.168	New	musical_uculele_new.bmp	New39	0	1	1.6159999999999999	9	1103
15	1	8	1.104	New	sporting_weighlifting.bmp	New25	1	2	1.745	9	1103
16	1	5	1.3359999999999999	New	vegie_broccoli.bmp	New36	1	2	2.147	9	1103
17	1	9	1.534	New	sporting_windsurf.bmp	New31	1	2	2.2030000000000003	9	1103
18	1	9	0.868	OLD	food_candy.bmp	Old16	1	1	1.338	5	747
19	1	5	1.249	OLD	sporting_karate clothing.bmp	Old60	1	1	1.1640000000000001	8	389
20	1	5	1.47	New	fruit_apricot_new.bmp	New04	1	2	1.669	8	389
21	1	5	2.03	New	animal_pigeon.bmp	New32	0	1	2.169	8	11041
22	0	8	0.723	OLD	sporting_fishing rod.bmp	Old59	1	1	2.279	6	556
23	0	5	0.627	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.093	6	424
24	1	8	1.4469999999999998	New	fruit_rasberry.bmp	New10	0	1	2.0140000000000002	6	636
25	1	6	1.3869999999999998	New	musical_french horn_old.bmp	New12	0	1	1.435	6	665
26	1	5	1.848	OLD	hard_musical_recorder.bmp	Old40	1	1	1.5719999999999998	8	420
27	0	5	0.674	New	sporting_golf ball.bmp	New19	1	2	1.5219999999999998	8	420
28	1	6	1.972	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.933	9	631
29	1	5	1.425	New	kitchen_kettle_new.bmp	New24	1	2	1.54	9	631
30	0	6	0.632	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.294	8	369
31	1	8	1.242	OLD	animal_chimpanzee.bmp	Old03	1	1	1.09	8	565
32	1	5	1.797	OLD	food_baguette01.bmp	Old14	1	1	1.165	9	454
33	1	9	1.4280000000000002	New	musical_zamponia windflute.bmp	New29	1	2	1.315	9	454
34	1	8	2.281	OLD	sporting_skipping rope.bmp	Old63	1	1	1.317	6	408
35	1	9	1.3219999999999998	New	fruit_granny smith apple.bmp	New16	1	2	1.383	6	408
36	1	8	1.489	OLD	food_shellpasta.bmp	Old25	0	2	1.3980000000000001	6	408
37	1	6	1.685	New	vegie_pumpkin.bmp	New21	1	2	1.6130000000000002	6	408
38	0	9	0.677	New	vegie_cucumber.bmp	New33	0	1	1.235	5	353
39	0	8	0.708	New	animal_giraffe.bmp	New03	1	2	1.4180000000000001	5	353
40	1	9	1.745	OLD	food_croissant01.bmp	Old19	1	1	1.2309999999999999	6	429
41	1	6	1.6869999999999998	OLD	vegie_green capsicum.bmp	Old75	1	1	1.244	9	368
42	1	9	1.527	OLD	Kitchen_apron.bmp	Old27	1	1	1.272	5	365
43	1	6	2.537	OLD	kitchen_white strainer.bmp	Old38	1	1	1.125	5	319
44	0	5	0.6509999999999999	OLD	animal_zebra_old.bmp	Old13	1	1	1.4569999999999999	8	510
45	1	5	2.213	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.8330000000000002	9	551
46	1	9	1.66	New	food_bread.bmp	New28	1	2	1.52	9	551
47	0	9	0.6509999999999999	OLD	animal_cheetah.bmp	Old02	1	1	1.442	5	623
48	1	8	1.09	OLD	vegie_cauliflower.bmp	Old72	1	1	1.6059999999999999	9	2588
49	0	6	0.6759999999999999	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.052	5	313
50	0	6	0.6409999999999999	OLD	animal_camel_new.bmp	Old01	1	1	1.14	9	405
51	0	6	0.569	OLD	food_softcheese.bmp	Old24	1	1	1.5	6	576
52	0	9	0.506	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.32	5	690
53	1	6	1.881	OLD	food_toast.bmp	Old26	1	1	1.7	6	848
54	1	6	1.609	OLD	vegie_mushroom.bmp	Old76	1	1	1.5330000000000001	9	511
55	1	5	1.5419999999999998	New	animal_dolphin_old.bmp	New09	1	2	1.466	9	511
56	1	6	1.2670000000000001	OLD	musical_drums_old.bmp	Old46	1	1	1.214	8	349
57	1	9	1.197	OLD	sporting_rollerblade.bmp	Old62	1	1	1.286	5	321
58	1	8	1.1420000000000001	New	kitchen_toaster_old.bmp	New30	1	2	1.339	5	321
59	1	9	1.444	New	kitchen_fork_old.bmp	New18	1	2	1.2930000000000001	5	321
60	1	8	1.71	New	musical_bagpipes.bmp	New35	1	2	1.5530000000000002	5	321
61	1	9	0.9470000000000001	New	sporting_basketball_new.bmp	New14	0	1	1.026	5	368
62	1	6	0.483	New	animal_horse.bmp	New20	1	2	1.192	5	368
63	1	6	1.275	OLD	sporting_boxing_gloves.bmp	Old56	1	1	1.215	6	390
64	1	8	1.37	New	food_cookie01.bmp	New11	1	2	1.67	6	390
65	1	9	0.9590000000000001	OLD	sporting_snow shoes_old.bmp	Old64	1	1	1.026	5	328
66	1	6	1.095	OLD	food_frenchfries.bmp	Old20	1	1	2.01	8	385
67	0	8	0.7240000000000001	OLD	kitchen_plate.bmp	Old35	1	1	1.28	9	349
68	1	5	2.062	New	food_bagel01.bmp	New17	1	2	1.349	9	349
69	0	9	0.6679999999999999	New	food_walnut01c.bmp	New34	1	2	1.43	9	349
70	0	8	0.623	New	musical_tambourine_new.bmp	New06	1	2	1.315	9	349
71	0	5	0.669	OLD	kitchen_pitcher.bmp	Old34	1	1	1.125	8	320
72	1	9	2.725	OLD	musical_double bass.bmp	Old45	1	1	1.274	5	390
73	1	8	2.162	OLD	musical_triangle.bmp	Old49	1	1	1.173	5	341
74	1	8	1.807	New	kitchen_garlic press.bmp	New07	1	2	1.3030000000000002	5	341
75	1	6	0.0	New	fruit_cherry.bmp	Old67	1	1	1.09	8	341
76	0	5	0.62	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.031	8	413
77	1	9	1.729	OLD	musical_piano_old.bmp	Old48	1	1	1.0270000000000001	9	425
78	0	8	0.599	OLD	food_pecan02.bmp	Old21	1	1	2.383	5	536
79	1	9	2.093	OLD	musical_xylophone_old.bmp	Old52	1	1	1.249	6	1743
80	0	9	0.625	OLD	animal_parrot.bmp	Old09	1	1	1.032	5	350
81	0	8	0.6809999999999999	OLD	musical_accordion_old.bmp	Old41	1	1	1.07	9	355
82	0	9	0.5760000000000001	OLD	food_rawchicken.bmp	Old23	1	1	2.499	8	1048
83	0	5	0.568	OLD	fruit_lemon_new.bmp	Old69	1	1	1.436	8	417
84	1	5	1.722	OLD	kitchen_ladle.bmp	Old31	1	1	1.111	5	346
85	0	6	0.657	New	food_drink.bmp	New05	1	2	1.3230000000000002	5	346
86	0	6	0.604	New	musical_bongo drum.bmp	New23	1	2	1.2209999999999999	5	346
87	1	8	1.2	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.459	6	360
88	0	9	0.535	New	kitchen_spatula_old.bmp	New37	1	2	1.225	6	360
89	1	8	1.399	New	vegie_snowpea01.bmp	New27	1	2	1.6469999999999998	6	360
90	1	5	1.729	New	sporting_flippers.bmp	New02	1	2	1.6119999999999999	6	360
91	1	8	1.786	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.171	5	523
92	0	8	0.779	OLD	kitchen_martini glass.bmp	Old32	1	1	1.069	9	337
93	1	9	1.33	OLD	kitchen_peppermill.bmp	Old33	1	1	1.355	9	795
94	1	8	1.151	OLD	sporting_bicycle_old.bmp	Old55	1	1	1.162	9	387
95	1	8	0.0	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.115	8	405
96	0	8	0.7040000000000001	OLD	vegie_corn02.bmp	Old73	1	1	1.284	5	367
97	0	5	0.677	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.456	5	788
98	1	5	1.571	OLD	animal_frog.bmp	Old06	1	1	1.036	6	441
99	0	9	0.5710000000000001	OLD	animal_penguin.bmp	Old10	1	1	1.663	6	636
100	0	9	0.5579999999999999	OLD	animal_sheep.bmp	Old11	1	1	1.273	8	1093
101	0	6	0.591	OLD	vegie_carrot.bmp	Old78	1	1	1.081	5	373
102	1	9	0.978	New	kitchen_baking spatula.bmp	New01	1	2	1.357	5	373
103	0	6	0.6459999999999999	New	animal_seal.bmp	New38	1	2	1.294	5	373
104	0	5	0.529	New	animal_ostrich.bmp	New26	1	2	1.266	5	373
105	0	6	0.581	OLD	sporting_americanfootball.bmp	Old53	1	1	1.046	8	347
106	1	5	1.021	OLD	vegie_garlic01a.bmp	Old74	1	1	1.004	9	363
107	1	9	0.998	OLD	vegie_radish.bmp	Old77	1	1	1.2830000000000001	8	375
108	1	8	1.5419999999999998	New	food_pizza.bmp	New22	1	2	1.176	8	375
109	1	6	1.656	OLD	animal_farm pig.bmp	Old05	1	1	1.2	5	311
110	1	9	1.8219999999999998	OLD	food_pickle01a.bmp	Old22	1	1	1.266	5	551
111	0	9	0.654	OLD	animal_lion_new.bmp	Old07	1	1	1.335	5	616
112	1	5	1.33	OLD	musical_harp_new.bmp	Old43	1	1	1.5190000000000001	5	417
113	1	6	1.0590000000000002	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.495	6	691
114	1	5	1.376	OLD	animal_siamese cat.bmp	Old12	1	1	1.078	6	450
115	1	5	1.949	OLD	musical_clarinet_new.bmp	Old44	1	1	1.127	8	1041
116	1	8	1.6340000000000001	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.135	8	377
