	Condition	CorrectSource	Stim_RT	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	1	8	1.29	OLD	animal_cheetah.bmp	Old02	0	2	2.053	False	0
1	0	6	1.723	New	sporting_basketball_new.bmp	New14	1	2	3.514	False	0
2	1	5	1.156	OLD	food_cracker02.bmp	Old18	1	1	1.597	5.0	1995
3	1	5	1.298	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.715	5.0	646
4	0	5	0.9	OLD	animal_monarch_old.bmp	Old08	1	1	2.49	6.0	638
5	0	6	0.8690000000000001	OLD	musical_double bass.bmp	Old45	1	1	1.2429999999999999	6.0	512
6	1	6	1.061	OLD	sporting_fishing rod.bmp	Old59	0	2	2.306	6.0	512
7	1	5	1.0090000000000001	New	musical_tambourine_new.bmp	New06	1	2	1.3090000000000002	6.0	512
8	0	6	1.077	OLD	food_frenchfries.bmp	Old20	1	1	1.071	8.0	563
9	1	9	1.315	New	vegie_snowpea01.bmp	New27	1	2	1.5630000000000002	8.0	563
10	0	9	0.8390000000000001	OLD	musical_tuba.bmp	Old50	0	2	1.804	8.0	563
11	1	6	1.128	OLD	hard_musical_recorder.bmp	Old40	0	2	1.482	8.0	563
12	0	9	0.8690000000000001	OLD	kitchen_big cooking pot.bmp	Old28	0	2	1.214	8.0	563
13	0	5	0.633	New	food_walnut01c.bmp	New34	1	2	1.261	8.0	563
14	1	8	1.21	OLD	animal_chimpanzee.bmp	Old03	0	2	1.329	8.0	563
15	1	9	0.91	OLD	food_pickle01a.bmp	Old22	1	1	1.355	9.0	532
16	1	5	1.1840000000000002	OLD	vegie_mushroom.bmp	Old76	1	1	2.3890000000000002	8.0	701
17	1	9	1.296	OLD	animal_farm pig.bmp	Old05	1	1	1.56	8.0	432
18	1	5	1.2229999999999999	New	sporting_golf ball.bmp	New19	1	2	1.3159999999999998	8.0	432
19	1	8	1.25	OLD	fruit_blackberry_new.bmp	Old66	1	1	2.168	6.0	401
20	1	8	1.1320000000000001	New	musical_uculele_new.bmp	New39	0	1	1.7919999999999998	6.0	407
21	1	9	1.245	OLD	vegie_carrot.bmp	Old78	1	1	1.494	8.0	816
22	1	8	1.3530000000000002	OLD	animal_parrot.bmp	Old09	1	1	1.198	9.0	437
23	1	5	1.117	OLD	fruit_green grapes.bmp	Old68	0	2	2.155	9.0	437
24	0	8	0.902	OLD	musical_xylophone_old.bmp	Old52	1	1	1.123	5.0	413
25	1	8	1.37	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.123	8.0	413
26	1	8	1.2919999999999998	OLD	kitchen_coffee pot.bmp	Old29	0	2	1.435	8.0	413
27	1	5	1.182	New	vegie_cucumber.bmp	New33	1	2	2.832	8.0	413
28	0	8	0.9109999999999999	New	musical_bongo drum.bmp	New23	1	2	1.335	8.0	413
29	1	9	1.018	New	food_bagel01.bmp	New17	1	2	0.872	8.0	413
30	1	9	1.351	New	kitchen_baking spatula.bmp	New01	1	2	1.452	8.0	413
